Identifier,InChI.Key.x,logFC_HL,logFC_LH,logFC_LL,logRSDfc_HL,logRSDfc_LH,logRSDfc_LL,CohenD_HL_effect,Mag_HL_effect,CI_inf_HL_effect,CI_sup_HL_effect,CohenD_LH_effect,Mag_LH_effect,CI_inf_LH_effect,CI_sup_LH_effect,CohenD_LL_effect,Mag_LL_effect,CI_inf_LL_effect,CI_sup_LL_effect,PubChem,Pr(>Chisq)_overall,InChI.Key.y,Identifier_R,DO_p.value,pH_p.value,pH:DO_p.value,Annotation,KEGG,SMILES,Pr..Chisq._overall,VIP_PLSDA,PLSDA,uniDO,unipH,unipHxDO,method,method_simple
4.41_838.56,DYDDZDMJSQYFGN-OIVUZXIWSA-N,0.408785129951092,0.128687783167118,0.656188377330629,-0.269962694094882,0.416793968831618,0.0549146767450015,-0.821365483952063,large,-1.57918745891879,-0.0635435089853361,-0.196671804407298,negligible,-0.92618608496473,0.532842476150134,-1.12807341786867,large,-1.92588355417952,-0.330263281557827,24778771,0.0315363465197437,DYDDZDMJSQYFGN-OIVUZXIWSA-N,PC..36.5..A,0.0241661597746828,0.319926696929151,0.725564043899322,PC (36:5) A,NA,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,0.0315363465197437,1.53741597793176,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.50_812.54,YWDDIWXKFJEMKF-JTZVLWBESA-N,0.566937642351647,0.279683958732166,0.911207890723297,0.048234983511251,0.302505325853005,0.309114522379169,-0.942436797135234,large,-1.70952981062015,-0.17534378365032,-0.425550824353922,small,-1.16149879321778,0.310397144509933,-1.25871959313417,large,-2.06981999504842,-0.447619191219914,52922891,0.0152983704622526,YWDDIWXKFJEMKF-JTZVLWBESA-N,PC..34.4.,0.0187647649992789,0.169570577977957,0.761956925805579,PC (34:4),C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,0.0152983704622526,1.89814288033455,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.51_778.54_4.51_800.52,SPWBDEZMKCRQSX-NGPPOSSDSA-N,0.667226298172293,0.39285614344751,1.31589463514092,-0.225530533516804,0.319399763689663,-0.264539432652825,-0.590133591571753,medium,-1.33356234647299,0.153295163329488,-0.276017258294851,small,-1.00723139038512,0.45519687379542,-1.10741908856307,large,-1.90324244401994,-0.311595733106194,52922847,0.0386986116828888,SPWBDEZMKCRQSX-NGPPOSSDSA-N,PC..36.6.,0.0423366133117526,0.148664156505387,0.525181712744288,PC (36:6),C00157,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,0.0386986116828888,1.70560938056707,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.56_780.55,SUZYROYNFNQALJ-MHEIZRSESA-N,0.660946618326363,0.328973982982687,1.22159565564196,-0.260139736308176,0.3233001217084,-0.237524557900149,-0.632780137520376,medium,-1.37852744261808,0.11296716757733,-0.247958143483396,small,-0.978506403276521,0.482590116309728,-1.09480237203717,large,-1.88942776904425,-0.300176975030081,52923341,0.0400572605814596,SUZYROYNFNQALJ-MHEIZRSESA-N,PC..36.5..A.1,0.0383743889922472,0.190021926873549,0.566931194136211,PC (36:5) A,C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,0.0400572605814596,1.64475748950354,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.60_804.55,BNNUJTATKJXKJP-XCDHYEIISA-N,0.566712999186405,0.260607470907898,1.26777356137687,-0.199228663144241,0.229459568058904,-0.216919799101248,-0.552872336492925,medium,-1.2944023122903,0.188657639304451,-0.215378081941891,small,-0.945242027509058,0.514485863625275,-1.16013798940433,large,-1.96109508011053,-0.359180898698129,53479075,0.0133198658557609,BNNUJTATKJXKJP-XCDHYEIISA-N,PC..38.7.,0.00878287117564046,0.0897661402968324,0.305103696088192,PC (38:7),C00157,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,0.0133198658557609,1.82351399122155,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.64_704.52,ANKCYRKQDLQXGL-MRDDHZETSA-N,0.797645173395962,0.409143571037298,1.38329795300062,-0.129948762844517,0.229220335115825,-0.0833917611550969,-0.776905987791131,medium,-1.53161773004161,-0.0221942455406517,-0.350092862130821,small,-1.08340357715101,0.383217852889373,-1.21067048119388,large,-2.01673965973779,-0.404601302649976,52922250,0.0229796230429243,ANKCYRKQDLQXGL-MRDDHZETSA-N,PC..30.1.,0.0312125289018723,0.171632126026564,0.579691649984729,PC (30:1),C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C,0.0229796230429243,1.89055141261863,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.77_814.56,CNNSEHUKQJCGTE-UPPWDXJYSA-N,0.418589904859621,0.168201085831051,0.665024834952133,-0.274491782020976,0.4079695676693,-0.1567143502429,-0.830549350488793,large,-1.58903370838855,-0.0720649925890405,-0.253287818322888,small,-0.98395711551559,0.477381478869815,-1.24498535849398,large,-2.05463088175511,-0.43533983523285,24778699,0.021092475441693,CNNSEHUKQJCGTE-UPPWDXJYSA-N,PC..34.3.,0.00446526545553995,0.213533609799443,0.789439418717398,PC (34:3),C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC,0.021092475441693,1.63185021364751,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.80_840.58,IIZPXYDJLKNOIY-JXPKJXOSSA-N,0.530158911709416,0.24473667620947,0.823954208632765,-0.59570115638799,0.0212607573292853,-0.518155694166381,-0.747020064268535,medium,-1.49973158439303,0.00569145585595987,-0.275040606191758,small,-1.00623037405579,0.456149161672275,-1.13036863669175,large,-1.92840151237005,-0.332335761013456,10747814,0.0387849785147144,IIZPXYDJLKNOIY-JXPKJXOSSA-N,PC..36.4..A,0.00815822015486432,0.220973327208668,0.87027856137173,PC (36:4) A,C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,0.0387849785147144,1.5702201500325,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.94_864.58,PLZBTDKJYHXIEW-DZUXOTHRSA-N,0.436863331397774,0.202632549677194,0.916999855898155,-0.410709352535017,0.242554235812166,-0.328158394013482,-0.558773297233015,medium,-1.300596043672,0.183049449205969,-0.201293322551279,small,-0.930891052642159,0.528304407539602,-1.11577040468691,large,-1.91239326430938,-0.319147545064437,52923295,0.034268577171391,PLZBTDKJYHXIEW-DZUXOTHRSA-N,PC..38.6.,0.016172366819593,0.149112474876846,0.482697085329505,PC (38:6),C00157,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C,0.034268577171391,1.63015459643375,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
4.99_750.53,YYILQTLJZBSOCA-IMJQGFQJSA-N,0.414208374533933,0.139275967776948,0.726704539951093,-0.0697043965346902,0.0557328913233857,-0.36083709879117,-0.58162888363636,medium,-1.32461378246141,0.161356015188693,-0.188476177498288,negligible,-0.917847215679067,0.54089486068249,-1.13887174793433,large,-1.93773320711809,-0.340010288750574,70699246,0.0319398224588986,YYILQTLJZBSOCA-IMJQGFQJSA-N,GlcCer.d14.1.4E..20.0.2OH..,0.00919440784205169,0.247730308767803,0.620930135240599,GlcCer(d14:1(4E)/20:0(2OH)),NA,CCCCCCCCCCCCCCCCCCC(C(=O)N[C@@H](CO[C@H]1C(C([C@@H]([C@H](O1)CO)O)O)O)[C@@H](/C=C/CCCCCCCCC)O)O,0.0319398224588986,1.51701809610643,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
5.15_706.54_5.15_728.52,RFVFQQWKPSOBED-PSXMRANNSA-N,0.529346448270807,0.333095535933603,1.09172467611203,-0.498812298339283,0.121221867317136,-0.482716024247571,-0.508206643448449,medium,-1.24761793215927,0.231204645262371,-0.250917252409587,small,-0.98153239849405,0.479697893674876,-1.02305705777954,large,-1.81109898059341,-0.235015134965663,129657,0.0625755536870542,RFVFQQWKPSOBED-PSXMRANNSA-N,PC..30.0.,0.0326521095679023,0.134222591413388,0.570799488004159,PC (30:0),C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,0.0625755536870542,1.59397678630898,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
5.37_820.58_5.37_842.57,QMCWOGICYCFNBF-BWHZRABLSA-N,0.545475896643493,0.289157060150879,1.05784764016634,-0.0293072995427277,0.112731514618208,-0.11494829539674,-0.508038087455134,medium,-1.24744170764601,0.231365532735741,-0.258411175857734,small,-0.989199231890343,0.472376880174876,-0.972644551219327,large,-1.75629692483547,-0.188992177603184,52922637,0.0694939211141503,QMCWOGICYCFNBF-BWHZRABLSA-N,PC..39.6.,0.0301956412967783,0.183928737385534,0.601944263638459,PC (39:6),C00157,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C,0.0694939211141503,1.50266781289744,PLSDA,uniDO,NO,NO,uniDO_PLSDA,both
5.14_866.59,YLWBKBDNHWQEFU-YJXJLLHLSA-N,0.256373677074752,0.240546714416624,0.656292040874041,-0.0547813778734128,0.331896215368557,0.0691137036787604,-0.522475808643117,medium,-1.26254520511699,0.217593587830758,-0.41454613075925,small,-1.15007815465983,0.320985893141331,-1.22990625856205,large,-2.03796985908634,-0.421842658037765,52923235,0.0255762114888982,YLWBKBDNHWQEFU-YJXJLLHLSA-N,PC..38.5..A,0.0324286691694908,0.0416611186764927,0.571514334785996,PC (38:5) A,C00157,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C,0.0255762114888982,1.90876301610098,PLSDA,uniDO,unipH,NO,uniDO_unipH_PLSDA,both
1.31_544.34,GOMVPVRDBLLHQC-VEJNOCSESA-N,-0.176745974111217,0.315616708628092,0.899208065866038,-0.559935712238319,-0.366752612289716,0.293760050500486,0.209207284340994,small,-0.520537823963164,0.938952392645151,-0.372328944397832,small,-1.10636442805759,0.361706539261929,-0.742175827480491,medium,-1.50834165753098,0.0239900025699994,53480469,0.0521965913843779,GOMVPVRDBLLHQC-VEJNOCSESA-N,LPC..20.4.,0.414361931727403,0.0499482372737568,0.21769838271965,LPC (20:4),C04230,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O,0.0521965913843779,1.75245027078756,PLSDA,NO,unipH,NO,unipH_PLSDA,both
148,UCMIRNVEIXFBKS-UHFFFAOYSA-N,0.4764333799314,-0.0233555629092486,-0.022910505095755,0.229748413350342,-0.23888084007819,0.603458094112147,-0.493810720487177,small,-1.23257595146718,0.244954510492829,0.0296547691013415,negligible,-0.711492031651032,0.770801569853715,0.0211488997482171,negligible,-0.706628502729094,0.748926302225528,239,0.323713123710046,UCMIRNVEIXFBKS-UHFFFAOYSA-N,beta.alanine,0.311193023503807,0.274237692362657,0.311936834056658,beta-alanine,C00099,C(CN)C(=O)O,0.0424569511399288,1.951011396262,PLSDA,NO,unipH,NO,unipH_PLSDA,both
3.25_283.27,QIQXTHQIDYTFRH-UHFFFAOYSA-N,-0.107646511913575,-0.430344231385554,-0.341700911382652,0.942467679415168,0.359848376595315,0.635449903468519,0.282713328000391,small,-0.448670152224776,1.01409680822556,1.50174024314735,large,0.67776530370638,2.32571518258833,1.07474971141319,large,0.282003707522477,1.86749571530391,5281,0.00825539078131595,QIQXTHQIDYTFRH-UHFFFAOYSA-N,FA..18.0...stearicacid.,0.76066263277717,0.000318880094247445,0.332586484841387,FA (18:0) (stearicacid),C01530,CCCCCCCCCCCCCCCCCC(=O)O,0.00825539078131595,2.17717400031076,PLSDA,NO,unipH,NO,unipH_PLSDA,both
308,NBSCHQHZLSJFNQ-GASJEMHNSA-N,-0.69094251423763,-0.575905747146527,-0.524079222413949,0.515895887090632,0.986689480190556,0.431218941261594,0.469662366392057,small,-0.26805963404537,1.20738436682948,0.32754401099461,small,-0.418509038381761,1.07359706037098,0.366330888007824,small,-0.367504770587933,1.10016654660358,5958,0.607625968949564,NBSCHQHZLSJFNQ-GASJEMHNSA-N,glucose.6.phosphate,0.487889962611143,0.605039959115226,0.427339117185706,glucose-6-phosphate,C00092,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O,0.0164897955427597,1.70156343626122,PLSDA,NO,unipH,NO,unipH_PLSDA,both
4.84_756.55,VKVSSDKCKXJFIM-AFYHZPHLSA-N,0.318462711018761,0.391782259883849,1.14661293730221,-0.146490902379226,0.556064315249895,0.0566684926883134,-0.341384757927808,small,-1.07442361183181,0.39165409597619,-0.298978098870282,small,-1.03078965546912,0.432833457728559,-1.01869977573048,large,-1.80635452901465,-0.231045022446298,52923213,0.0451232462849613,VKVSSDKCKXJFIM-AFYHZPHLSA-N,PC..34.3..1,0.0804685679001475,0.0497373192214361,0.359580558039939,PC (34:3),C00157,CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C,0.0451232462849613,1.75664118923282,PLSDA,NO,unipH,NO,unipH_PLSDA,both
648,VBICKXHEKHSIBG-UHFFFAOYSA-N,-0.0314564831301016,0.243970653373706,0.126880977441507,0.188590438933798,0.507954212827227,0.212871867297456,0.0574535591117095,negligible,-0.670453625251367,0.785360743474786,-0.378315991282875,small,-1.12601423982036,0.369382257254609,-0.227404352670006,small,-0.957509766737248,0.502701061397236,24699,0.702677813719732,VBICKXHEKHSIBG-UHFFFAOYSA-N,X1.monostearin,0.725768797929642,0.424451675709963,0.785940631647011,1-monostearin,D01947,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O,0.114648860927758,1.81760955596043,PLSDA,NO,unipH,NO,unipH_PLSDA,both
1.18_494.32,LFUDDCMNKWEORN-ZXEGGCGDSA-N,-0.100289558057739,0.0652142869307024,0.709339551154535,-0.291854274416806,0.127947845219694,0.107978302934411,0.162486583275633,negligible,-0.566470371152845,0.891443537704112,-0.0926087070775752,negligible,-0.820755755812679,0.635538341657529,-0.961663485615012,large,-1.74438597578535,-0.178940995444673,24779461,0.012498699646224,LFUDDCMNKWEORN-ZXEGGCGDSA-N,LPC..16.1.,0.106930373614689,0.0182192449222645,0.0394597471015585,LPC (16:1),C04230,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O,0.012498699646224,1.89975902946894,PLSDA,NO,unipH,unipHxDO,unipH_unipHxDO_PLSDA,both
1.04_542.32,PDIGSOAOQOXRDU-WJPZTBRDSA-N,0.14147712732967,0.140438474245485,1.05043087135176,0.1718244797519,0.31370843552729,1.03089626140542,-0.16732477249157,negligible,-0.89635418350435,0.561704638521209,-0.156133733492008,negligible,-0.884998765718097,0.572731298734081,-0.648192773236539,medium,-1.40848847298787,0.112102926514788,11757087,0.10912031518579,PDIGSOAOQOXRDU-WJPZTBRDSA-N,LPC..20.5.,0.13665300704281,0.137287464543807,0.240118665515292,LPC (20:5),C04230,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O,NA,NA,NA,NA,NA,NA,NA,not_sig
1.06_468.31,VXUOFDJKYGDUJI-OAQYLSRUSA-N,0.131179702230012,0.19483344202458,0.561263084208923,0.04189329784412,0.520118703091226,0.624863705684155,-0.224231684912395,small,-0.954272130933215,0.505808761108426,-0.267062901092057,small,-0.998056856138735,0.463931053954621,-0.68721253217306,medium,-1.44985445694687,0.0754293926007473,460604,0.264846996246538,VXUOFDJKYGDUJI-OAQYLSRUSA-N,LPC..14.0.,0.250601036619501,0.146721200074722,0.576184306759811,LPC (14:0),NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O,NA,NA,NA,NA,NA,NA,NA,not_sig
1.23_500.28,JPNPIRVRGLGTRE-YSKCIPFOSA-N,-0.011530091668094,0.0104889063800133,0.101289128874194,-0.155820569144672,-0.339630041964882,0.664291691021285,0.0471861063830872,negligible,-0.680672218313881,0.775044431080056,-0.0453139906077938,negligible,-0.773164439711893,0.682536458496306,-0.295055776082917,small,-1.04017865980837,0.450067107642535,53480952,0.794222028129404,JPNPIRVRGLGTRE-YSKCIPFOSA-N,LPE..20.4.,0.774975708578515,0.593724746647235,0.674761645064013,LPE (20:4),NA,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O,NA,NA,NA,NA,NA,NA,NA,not_sig
