compound.type	class	term	sig.compounds	background.compounds	pval	padj
lipid	Main.Class	Other acyl sugars [SL05]	0	0	1	1
lipid	Main.Class	Other Polyketides [PK00]	0	0	1	1
lipid	Main.Class	Linear polyketides [PK01]	0	0	1	1
lipid	Main.Class	Halogenated acetogenins [PK02]	0	0	1	1
lipid	Main.Class	Annonaceae acetogenins [PK03]	0	0	1	1
lipid	Main.Class	Macrolides and lactone polyketides [PK04]	0	0	1	1
lipid	Main.Class	Ansamycins and related polyketides [PK05]	0	0	1	1
lipid	Main.Class	Polyenes [PK06]	0	0	1	1
lipid	Main.Class	Linear tetracyclines [PK07]	0	0	1	1
lipid	Main.Class	Angucyclines [PK08]	0	0	1	1
lipid	Main.Class	Polyether antibiotics [PK09]	0	0	1	1
lipid	Main.Class	Aflatoxins and related substances [PK10]	0	0	1	1
lipid	Main.Class	Cytochalasins [PK11]	0	0	1	1
lipid	Main.Class	Flavonoids [PK12]	0	0	1	1
lipid	Main.Class	Aromatic polyketides [PK13]	0	0	1	1
lipid	Main.Class	Non-ribosomal peptide/polyketide hybrids [PK14]	0	0	1	1
lipid	Main.Class	Phenolic lipids [PK15]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphocholines [GP0101]	33	43	7.7086798768194e-12	2.08905224661806e-09
lipid	Sub.Class	Straight chain fatty acids [FA0101]	3	5	0.23689689177837	1
lipid	Sub.Class	Simple Glc series [SP0501]	1	1	0.353383458646617	1
lipid	Sub.Class	Monoacylglycerophosphocholines [GP0105]	2	12	0.966039062010548	1
lipid	Sub.Class	NA	0	0	1	1
lipid	Sub.Class	Branched fatty acids [FA0102]	0	0	1	1
lipid	Sub.Class	Unsaturated fatty acids [FA0103]	0	13	1	1
lipid	Sub.Class	Hydroperoxy fatty acids [FA0104]	0	0	1	1
lipid	Sub.Class	Hydroxy fatty acids [FA0105]	0	0	1	1
lipid	Sub.Class	Oxo fatty acids [FA0106]	0	0	1	1
lipid	Sub.Class	Epoxy fatty acids [FA0107]	0	0	1	1
lipid	Sub.Class	Methoxy fatty acids [FA0108]	0	0	1	1
lipid	Sub.Class	Halogenated fatty acids [FA0109]	0	0	1	1
lipid	Sub.Class	Amino fatty acids [FA0110]	0	0	1	1
lipid	Sub.Class	Cyano fatty acids [FA0111]	0	0	1	1
lipid	Sub.Class	Nitro fatty acids [FA0112]	0	0	1	1
lipid	Sub.Class	Thia fatty acids [FA0113]	0	0	1	1
lipid	Sub.Class	Carbocyclic fatty acids [FA0114]	0	0	1	1
lipid	Sub.Class	Heterocyclic fatty acids [FA0115]	0	0	1	1
lipid	Sub.Class	Mycolic acids [FA0116]	0	0	1	1
lipid	Sub.Class	Dicarboxylic acids [FA0117]	0	0	1	1
lipid	Sub.Class	Other Octadecanoids [FA0200]	0	0	1	1
lipid	Sub.Class	12-oxophytodienoic acid metabolites [FA0201]	0	0	1	1
lipid	Sub.Class	Jasmonic acids [FA0202]	0	0	1	1
lipid	Sub.Class	Phytoprostanes [FA0203]	0	0	1	1
lipid	Sub.Class	Phytofurans [FA0204]	0	0	1	1
lipid	Sub.Class	Octadeca-1,2-dioxolanes [FA0205]	0	0	1	1
lipid	Sub.Class	Other Eicosanoids [FA0300]	0	0	1	1
lipid	Sub.Class	Prostaglandins [FA0301]	0	0	1	1
lipid	Sub.Class	Leukotrienes [FA0302]	0	0	1	1
lipid	Sub.Class	Thromboxanes [FA0303]	0	0	1	1
lipid	Sub.Class	Lipoxins [FA0304]	0	0	1	1
lipid	Sub.Class	Hydroxy/hydroperoxyeicosatrienoic acids [FA0305]	0	0	1	1
lipid	Sub.Class	Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306]	0	0	1	1
lipid	Sub.Class	Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307]	0	0	1	1
lipid	Sub.Class	Epoxyeicosatrienoic acids [FA0308]	0	0	1	1
lipid	Sub.Class	Hepoxilins [FA0309]	0	0	1	1
lipid	Sub.Class	Levuglandins [FA0310]	0	0	1	1
lipid	Sub.Class	Isoprostanes [FA0311]	0	0	1	1
lipid	Sub.Class	Clavulones [FA0312]	0	0	1	1
lipid	Sub.Class	Isofurans [FA0313]	0	0	1	1
lipid	Sub.Class	Resolvin Es [FA0314]	0	0	1	1
lipid	Sub.Class	Eicosa-1,2-dioxolanes [FA0315]	0	0	1	1
lipid	Sub.Class	Other Docosanoids [FA0400]	0	0	1	1
lipid	Sub.Class	Neuroprostanes [FA0401]	0	0	1	1
lipid	Sub.Class	Neurofurans [FA0402]	0	0	1	1
lipid	Sub.Class	Resolvin Ds [FA0403]	0	0	1	1
lipid	Sub.Class	Protectins [FA0404]	0	0	1	1
lipid	Sub.Class	Maresins [FA0405]	0	0	1	1
lipid	Sub.Class	Docosa-1,2-dioxolanes [FA0406]	0	0	1	1
lipid	Sub.Class	Wax monoesters [FA0701]	0	0	1	1
lipid	Sub.Class	Wax diesters [FA0702]	0	0	1	1
lipid	Sub.Class	Cyano esters [FA0703]	0	0	1	1
lipid	Sub.Class	Lactones [FA0704]	0	0	1	1
lipid	Sub.Class	Fatty acyl CoAs [FA0705]	0	0	1	1
lipid	Sub.Class	Fatty acyl carnitines [FA0707]	0	0	1	1
lipid	Sub.Class	Fatty acyl adenylates [FA0708]	0	0	1	1
lipid	Sub.Class	Primary amides [FA0801]	0	0	1	1
lipid	Sub.Class	N-acyl amines [FA0802]	0	0	1	1
lipid	Sub.Class	Fatty acyl homoserine lactones [FA0803]	0	0	1	1
lipid	Sub.Class	N-acyl ethanolamines (endocannabinoids) [FA0804]	0	0	1	1
lipid	Sub.Class	Fatty acyl glycosides of mono- and disaccharides [FA1301]	0	0	1	1
lipid	Sub.Class	Sophorolipids [FA1302]	0	0	1	1
lipid	Sub.Class	Rhamnolipids [FA1303]	0	0	1	1
lipid	Sub.Class	Monoacylglycerols [GL0101]	0	0	1	1
lipid	Sub.Class	Monoalkylglycerols [GL0102]	0	0	1	1
lipid	Sub.Class	Diacylglycerols [GL0201]	0	1	1	1
lipid	Sub.Class	1-alkyl,2-acylglycerols [GL0202]	0	0	1	1
lipid	Sub.Class	Dialkylglycerols [GL0203]	0	0	1	1
lipid	Sub.Class	1Z-alkenylacylglycerols [GL0204]	0	0	1	1
lipid	Sub.Class	Di-glycerol tetraethers [GL0205]	0	0	1	1
lipid	Sub.Class	Di-glycerol tetraether glycans [GL0206]	0	0	1	1
lipid	Sub.Class	1-acyl,2-alkylglycerols [GL0207]	0	0	1	1
lipid	Sub.Class	Triacylglycerols [GL0301]	0	1	1	1
lipid	Sub.Class	Estolides [GL0305]	0	0	1	1
lipid	Sub.Class	Glycosylmonoacylglycerols [GL0401]	0	0	1	1
lipid	Sub.Class	Glycosyldiacylglycerols [GL0501]	0	0	1	1
lipid	Sub.Class	Glycosylalkylacylglycerols [GL0502]	0	0	1	1
lipid	Sub.Class	Glycosyldialkylglycerols [GL0503]	0	0	1	1
lipid	Sub.Class	1-alkyl,2-acylglycerophosphocholines [GP0102]	0	3	1	1
lipid	Sub.Class	1-(1Z-alkenyl),2-acylglycerophosphocholines [GP0103]	0	0	1	1
lipid	Sub.Class	Dialkylglycerophosphocholines [GP0104]	0	0	1	1
lipid	Sub.Class	Monoalkylglycerophosphocholines [GP0106]	0	0	1	1
lipid	Sub.Class	1Z-alkenylglycerophosphocholines [GP0107]	0	0	1	1
lipid	Sub.Class	1-acyl,2-alkylglycerophosphocholines [GP0108]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoethanolamines [GP0201]	0	8	1	1
lipid	Sub.Class	1-alkyl,2-acylglycerophosphoethanolamines [GP0202]	0	2	1	1
lipid	Sub.Class	1-(1Z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]	0	8	1	1
lipid	Sub.Class	Dialkylglycerophosphoethanolamines [GP0204]	0	0	1	1
lipid	Sub.Class	Monoacylglycerophosphoethanolamines [GP0205]	0	1	1	1
lipid	Sub.Class	Monoalkylglycerophosphoethanolamines [GP0206]	0	0	1	1
lipid	Sub.Class	1Z-alkenylglycerophosphoethanolamines [GP0207]	0	0	1	1
lipid	Sub.Class	1-acyl,2-alkylglycerophosphoethanolamines [GP0208]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoserines [GP0301]	0	0	1	1
lipid	Sub.Class	1-alkyl,2-acylglycerophosphoserines [GP0302]	0	0	1	1
lipid	Sub.Class	1-(1Z-alkenyl),2-acylglycerophosphoserines [GP0303]	0	0	1	1
lipid	Sub.Class	Monoacylglycerophosphoserines [GP0305]	0	0	1	1
lipid	Sub.Class	Monoalkylglycerophosphoserines [GP0306]	0	0	1	1
lipid	Sub.Class	1Z-alkenylglycerophosphoserines [GP0307]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoglycerols [GP0401]	0	0	1	1
lipid	Sub.Class	1-alkyl,2-acylglycerophosphoglycerols [GP0402]	0	0	1	1
lipid	Sub.Class	1-(1Z-alkenyl),2-acylglycerophosphoglycerols [GP0403]	0	0	1	1
lipid	Sub.Class	Dialkylglycerophosphoglycerols [GP0404]	0	0	1	1
lipid	Sub.Class	Monoacylglycerophosphoglycerols [GP0405]	0	0	1	1
lipid	Sub.Class	Monoalkylglycerophosphoglycerols [GP0406]	0	0	1	1
lipid	Sub.Class	1Z-alkenylglycerophosphoglycerols [GP0407]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphomonoradylglycerols [GP0409]	0	0	1	1
lipid	Sub.Class	Monoacylglycerophosphomonoradylglycerols [GP0410]	0	0	1	1
lipid	Sub.Class	1-acyl,2-alkylglycerophosphoglycerols [GP0411]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoglycerophosphates [GP0501]	0	0	1	1
lipid	Sub.Class	Dialkylglycerophosphoglycerophosphates [GP0504]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoinositols [GP0601]	0	0	1	1
lipid	Sub.Class	1-alkyl,2-acylglycerophosphoinositols [GP0602]	0	0	1	1
lipid	Sub.Class	1-(1Z-alkenyl),2-acylglycerophosphoinositols [GP0603]	0	0	1	1
lipid	Sub.Class	Dialkylglycerophosphoinositols [GP0604]	0	0	1	1
lipid	Sub.Class	Monoacylglycerophosphoinositols [GP0605]	0	0	1	1
lipid	Sub.Class	Monoalkylglycerophosphoinositols [GP0606]	0	0	1	1
lipid	Sub.Class	1Z-alkenylglycerophosphoinositols [GP0607]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoinositol monophosphates [GP0701]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoinositol bisphosphates [GP0801]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoinositol trisphosphates [GP0901]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphates [GP1001]	0	0	1	1
lipid	Sub.Class	1-alkyl,2-acylglycerophosphates [GP1002]	0	0	1	1
lipid	Sub.Class	1-(1Z-alkenyl),2-acylglycerophosphates [GP1003]	0	0	1	1
lipid	Sub.Class	Monoacylglycerophosphates [GP1005]	0	0	1	1
lipid	Sub.Class	Monoalkylglycerophosphates [GP1006]	0	0	1	1
lipid	Sub.Class	1Z-alkenylglycerophosphates [GP1007]	0	0	1	1
lipid	Sub.Class	Diacylglyceropyrophosphates [GP1101]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoglycerophosphomonoradylglycerols [GP1202]	0	0	1	1
lipid	Sub.Class	Monoacylglycerophosphoglycerophosphomonoradylglycerols [GP1207]	0	0	1	1
lipid	Sub.Class	Dialkylglycerophosphoglycerophosphodiradylglycerols [GP1212]	0	0	1	1
lipid	Sub.Class	CDP-diacylglycerols [GP1301]	0	0	1	1
lipid	Sub.Class	Diacylglycosylglycerophospholipids [GP1401]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphoinositolglycans [GP1501]	0	0	1	1
lipid	Sub.Class	Monoacylglycerophosphoinositolglycans [GP1504]	0	0	1	1
lipid	Sub.Class	Dialkylglycerophosphoinositolglycans [GP1507]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphonocholines [GP1601]	0	0	1	1
lipid	Sub.Class	Diacylglycerophosphonoethanolamines [GP1701]	0	0	1	1
lipid	Sub.Class	Oxidized glycerophosphocholines [GP2001]	0	0	1	1
lipid	Sub.Class	Oxidized glycerophosphoethanolamines [GP2002]	0	0	1	1
lipid	Sub.Class	Oxidized Cardiolipins [GP2003]	0	0	1	1
lipid	Sub.Class	Oxidized glycerophosphoserines [GP2004]	0	0	1	1
lipid	Sub.Class	Oxidized glycerophosphoinositols [GP2005]	0	0	1	1
lipid	Sub.Class	Oxidized glycerophosphates [GP2006]	0	0	1	1
lipid	Sub.Class	Oxidized glycerophosphoglycerols [GP2007]	0	0	1	1
lipid	Sub.Class	Sphing-4-enines (Sphingosines) [SP0101]	0	0	1	1
lipid	Sub.Class	Sphinganines [SP0102]	0	0	1	1
lipid	Sub.Class	4-Hydroxysphinganines (Phytosphingosines) [SP0103]	0	0	1	1
lipid	Sub.Class	Sphingoid base homologs and variants [SP0104]	0	0	1	1
lipid	Sub.Class	Sphingoid base 1-phosphates [SP0105]	0	0	1	1
lipid	Sub.Class	Lysosphingomyelins and lysoglycosphingolipids [SP0106]	0	0	1	1
lipid	Sub.Class	N-methylated sphingoid bases [SP0107]	0	0	1	1
lipid	Sub.Class	Sphingoid base analogs [SP0108]	0	0	1	1
lipid	Sub.Class	N-acylsphingosines (ceramides) [SP0201]	0	1	1	1
lipid	Sub.Class	N-acylsphinganines (dihydroceramides) [SP0202]	0	0	1	1
lipid	Sub.Class	N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203]	0	0	1	1
lipid	Sub.Class	Acylceramides [SP0204]	0	0	1	1
lipid	Sub.Class	Ceramide 1-phosphates [SP0205]	0	0	1	1
lipid	Sub.Class	Ceramide phosphocholines (sphingomyelins) [SP0301]	0	3	1	1
lipid	Sub.Class	Ceramide phosphoethanolamines [SP0302]	0	0	1	1
lipid	Sub.Class	Ceramide phosphoinositols [SP0303]	0	0	1	1
lipid	Sub.Class	Other Neutral glycosphingolipids [SP0500]	0	0	1	1
lipid	Sub.Class	Galalpha1-4Galbeta1-4Glc- (Globo series) [SP0502]	0	0	1	1
lipid	Sub.Class	GalNAcbeta1-4Galbeta1-4Glc- (Ganglio series) [SP0503]	0	0	1	1
lipid	Sub.Class	Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glc- (Lacto series) [SP0504]	0	0	1	1
lipid	Sub.Class	Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glc- (Neolacto series) [SP0505]	0	0	1	1
lipid	Sub.Class	Galalpha1-3Galbeta1-4Glc- (Isoglobo series) [SP0506]	0	0	1	1
lipid	Sub.Class	Manalpha1-3Manbeta1-4Glc- (Mollu series) [SP0507]	0	0	1	1
lipid	Sub.Class	GlcNAcbeta1-3Manbeta1-4Glc- (Arthro series) [SP0508]	0	0	1	1
lipid	Sub.Class	Gal- (Gala series) [SP0509]	0	0	1	1
lipid	Sub.Class	Gangliosides [SP0601]	0	0	1	1
lipid	Sub.Class	Sulfoglycosphingolipids (sulfatides) [SP0602]	0	0	1	1
lipid	Sub.Class	Glucuronosphingolipids [SP0603]	0	0	1	1
lipid	Sub.Class	Phosphoglycosphingolipids [SP0604]	0	0	1	1
lipid	Sub.Class	Cholesterol and derivatives [ST0101]	0	0	1	1
lipid	Sub.Class	Steryl esters [ST0102]	0	0	1	1
lipid	Sub.Class	Ergosterols and C24-methyl derivatives [ST0103]	0	0	1	1
lipid	Sub.Class	Stigmasterols and C24-ethyl derivatives [ST0104]	0	0	1	1
lipid	Sub.Class	C24-propyl sterols and derivatives [ST0105]	0	0	1	1
lipid	Sub.Class	Gorgosterols and derivatives [ST0106]	0	0	1	1
lipid	Sub.Class	Furostanols and derivatives [ST0107]	0	0	1	1
lipid	Sub.Class	Spirostanols and derivatives [ST0108]	0	0	1	1
lipid	Sub.Class	Furospirostanols and derivatives [ST0109]	0	0	1	1
lipid	Sub.Class	Cycloartanols and derivatives [ST0110]	0	0	1	1
lipid	Sub.Class	Calysterols and cyclopropyl sidechain derivatives [ST0111]	0	0	1	1
lipid	Sub.Class	Cardanolides and derivatives [ST0112]	0	0	1	1
lipid	Sub.Class	Bufanolides and derivatives [ST0113]	0	0	1	1
lipid	Sub.Class	Brassinolides and derivatives [ST0114]	0	0	1	1
lipid	Sub.Class	Solanidines and alkaloid derivatives [ST0115]	0	0	1	1
lipid	Sub.Class	Withanolides and derivatives [ST0116]	0	0	1	1
lipid	Sub.Class	C18 steroids (estrogens) and derivatives [ST0201]	0	0	1	1
lipid	Sub.Class	C19 steroids (androgens) and derivatives [ST0202]	0	0	1	1
lipid	Sub.Class	C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]	0	0	1	1
lipid	Sub.Class	Vitamin D2 and derivatives [ST0301]	0	0	1	1
lipid	Sub.Class	Vitamin D3 and derivatives [ST0302]	0	0	1	1
lipid	Sub.Class	Vitamin D4 and derivatives [ST0303]	0	0	1	1
lipid	Sub.Class	Vitamin D5 and derivatives [ST0304]	0	0	1	1
lipid	Sub.Class	Vitamin D6 and derivatives [ST0305]	0	0	1	1
lipid	Sub.Class	Vitamin D7 and derivatives [ST0306]	0	0	1	1
lipid	Sub.Class	C24 bile acids, alcohols, and derivatives [ST0401]	0	0	1	1
lipid	Sub.Class	C26 bile acids, alcohols, and derivatives [ST0402]	0	0	1	1
lipid	Sub.Class	C27 bile acids, alcohols, and derivatives [ST0403]	0	0	1	1
lipid	Sub.Class	C28 bile acids, alcohols, and derivatives [ST0404]	0	0	1	1
lipid	Sub.Class	C22 bile acids, alcohols, and derivatives [ST0405]	0	0	1	1
lipid	Sub.Class	C23 bile acids, alcohols, and derivatives [ST0406]	0	0	1	1
lipid	Sub.Class	C25 bile acids, alcohols, and derivatives [ST0407]	0	0	1	1
lipid	Sub.Class	C29 bile acids, alcohols, and derivatives [ST0408]	0	0	1	1
lipid	Sub.Class	Glucuronides [ST0501]	0	0	1	1
lipid	Sub.Class	Sulfates [ST0502]	0	0	1	1
lipid	Sub.Class	Glycine conjugates [ST0503]	0	0	1	1
lipid	Sub.Class	Taurine conjugates [ST0504]	0	0	1	1
lipid	Sub.Class	Other Steroid conjugates [ST0505]	0	0	1	1
lipid	Sub.Class	C5 isoprenoids (hemiterpenes) [PR0101]	0	0	1	1
lipid	Sub.Class	C10 isoprenoids (monoterpenes) [PR0102]	0	0	1	1
lipid	Sub.Class	C15 isoprenoids (sesquiterpenes) [PR0103]	0	0	1	1
lipid	Sub.Class	C20 isoprenoids (diterpenes) [PR0104]	0	0	1	1
lipid	Sub.Class	C25 isoprenoids (sesterterpenes) [PR0105]	0	0	1	1
lipid	Sub.Class	C30 isoprenoids (triterpenes) [PR0106]	0	0	1	1
lipid	Sub.Class	C40 isoprenoids (tetraterpenes) [PR0107]	0	0	1	1
lipid	Sub.Class	Polyterpenes [PR0108]	0	0	1	1
lipid	Sub.Class	Retinoids [PR0109]	0	0	1	1
lipid	Sub.Class	Ubiquinones [PR0201]	0	0	1	1
lipid	Sub.Class	Vitamin E [PR0202]	0	0	1	1
lipid	Sub.Class	Vitamin K [PR0203]	0	0	1	1
lipid	Sub.Class	Bactoprenols [PR0301]	0	0	1	1
lipid	Sub.Class	Bactoprenol monophosphates [PR0302]	0	0	1	1
lipid	Sub.Class	Bactoprenol diphosphates [PR0303]	0	0	1	1
lipid	Sub.Class	Phytoprenols [PR0304]	0	0	1	1
lipid	Sub.Class	Dolichols [PR0307]	0	0	1	1
lipid	Sub.Class	Dolichol monophosphates [PR0308]	0	0	1	1
lipid	Sub.Class	Dolichol diphosphates [PR0309]	0	0	1	1
lipid	Sub.Class	Monoacylaminosugars [SL0101]	0	0	1	1
lipid	Sub.Class	Diacylaminosugars [SL0102]	0	0	1	1
lipid	Sub.Class	Tetraacylaminosugars [SL0104]	0	0	1	1
lipid	Sub.Class	Pentaacylaminosugars [SL0105]	0	0	1	1
lipid	Sub.Class	Hexaacylaminosugars [SL0106]	0	0	1	1
lipid	Sub.Class	Heptaacylaminosugars [SL0107]	0	0	1	1
lipid	Sub.Class	Anthocyanidins [PK1201]	0	0	1	1
lipid	Sub.Class	Flavans, Flavanols and Leucoanthocyanidins [PK1202]	0	0	1	1
lipid	Sub.Class	Proanthocyanidins [PK1203]	0	0	1	1
lipid	Sub.Class	Biflavonoids and polyflavonoids [PK1204]	0	0	1	1
lipid	Sub.Class	Isoflavonoids [PK1205]	0	0	1	1
lipid	Sub.Class	Rotenoid flavonoids [PK1206]	0	0	1	1
lipid	Sub.Class	Pterocarpans [PK1207]	0	0	1	1
lipid	Sub.Class	Isoflavans [PK1208]	0	0	1	1
lipid	Sub.Class	Coumestan flavonoids [PK1209]	0	0	1	1
lipid	Sub.Class	Neoflavonoids [PK1210]	0	0	1	1
lipid	Sub.Class	Flavones and Flavonols [PK1211]	0	0	1	1
lipid	Sub.Class	Chalcones and dihydrochalcones [PK1212]	0	0	1	1
lipid	Sub.Class	Aurone flavonoids [PK1213]	0	0	1	1
lipid	Sub.Class	Flavanones [PK1214]	0	0	1	1
lipid	Sub.Class	Dihydroflavonols [PK1215]	0	0	1	1
lipid	Sub.Class	Other Flavonoids [PK1216]	0	0	1	1
lipid	Sub.Class	Monocyclic aromatic polyketides [PK1301]	0	0	1	1
lipid	Sub.Class	Naphthalenes and naphthoquinones [PK1302]	0	0	1	1
lipid	Sub.Class	Benzoisochromanquinones [PK1303]	0	0	1	1
lipid	Sub.Class	Anthracenes and phenanthrenes [PK1304]	0	0	1	1
lipid	Sub.Class	Anthracyclinones [PK1305]	0	0	1	1
lipid	Sub.Class	Dibenzofurans, griseofulvins, dibenzopyrans and xanthones [PK1306]	0	0	1	1
lipid	Sub.Class	Diphenylmethanes, acylphloroglucinols and benzophenones [PK1307]	0	0	1	1
lipid	Sub.Class	Depsides and depsidones [PK1308]	0	0	1	1
lipid	Sub.Class	Diphenyl ethers, biphenyls, dibenzyls and stilbenes [PK1309]	0	0	1	1
lipid	Sub.Class	Benzofuranoids [PK1310]	0	0	1	1
lipid	Sub.Class	Benzopyranoids [PK1311]	0	0	1	1
lipid	Sub.Class	Other aromatic polyketides [PK1312]	0	0	1	1
lipid	Sub.Class	Alkyl phenols and derivatives [PK1501]	0	0	1	1
lipid	Sub.Class	Alkyl catechols and derivatives [PK1502]	0	0	1	1
lipid	Sub.Class	Alkyl resorcinols and derivatives [PK1503]	0	0	1	1
lipid	Sub.Class	Anacardic acids and derivatives [PK1504]	0	0	1	1
lipid	Sub.Class	Alkyl hydroquinones and derivatives [PK1505]	0	0	1	1
lipid	KEGG_pathway	Choline metabolism in cancer [map05231]	34	34	6.72141518999499e-10	2.92381560764782e-07
