InChI.Key	Super.Class.x	Main.Class.x	Sub.Class.x	Molecular.Framework	PubChem.ID	Annotation	Super.Class.y	Main.Class.y	Sub.Class.y	KEGG
FGSBNBBHOZHUBO-UHFFFAOYSA-N	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives	Aliphatic acyclic compounds	71	2-ketoadipic acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Dicarboxylic acids [FA0117]	C00322
FIJFPUAJUDAZEY-NNDXXDKYSA-N	NA	NA	NA	NA	NA	PE (p-40:6) or PE (o-40:7) 	NA	NA	NA	NA
FVXDQWZBHIXIEJ-ZPPAUJSGNA-N	NA	NA	NA	NA	NA	PC 36:4; 	NA	NA	NA	NA
FYGDTMLNYKFZSV-DZOUCCHMSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic heteromonocyclic compounds	439586	maltotriose	NA	NA	NA	C01835
GEINPYKZLFHHIL-HEXXMCQTSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	52922342	PC (37:6) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
GFFGJBXGBJISGV-UHFFFAOYSA-N	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	NA	190	adenine	NA	NA	NA	C00147
GGNQRNBDZQJCCN-UHFFFAOYSA-N	Benzenoids	Phenols	Benzenetriols and derivatives	Aromatic homomonocyclic compounds	10787	1,2,4-benzenetriol	NA	NA	NA	C02814
GHVNFZFCNZKVNT-UHFFFAOYSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	2969	capric acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Straight chain fatty acids [FA0101]	C01571
GLDOVTGHNKAZLK-UHFFFAOYSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Aliphatic acyclic compounds	8221	octadecanol	Fatty Acyls [FA]	Fatty alcohols [FA05]	NA	D01924
GOMVPVRDBLLHQC-VEJNOCSESA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	53480469	LPC (20:4) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Monoacylglycerophosphocholines [GP0105]	C04230
GPWHCUUIQMGELX-VHQDNGOZSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	24778764	PC (32:2) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
GRGDLDNREYVILP-CNWVQWJYSA-N	Lipids and lipid-like molecules	Glycerolipids	Diradylglycerols	Aliphatic acyclic compounds	9543784	DG (38:5) 	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	NA
GUBGYTABKSRVRQ-PICCSMPSSA-N	NA	NA	NA	NA	439186	maltose	NA	NA	NA	C00208
GUBGYTABKSRVRQ-QKKXKWKRSA-N	NA	NA	NA	NA	440995	lactose	NA	NA	NA	C00243
GUBGYTABKSRVRQ-QUYVBRFLSA-N	NA	NA	NA	NA	6255	cellobiose	NA	NA	NA	C01971
HBZNVZIRJWODIB-NHCUFCNUSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	9546747	PE (34:2) 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	Diacylglycerophosphoethanolamines [GP0201]	NA
HCXVJBMSMIARIN-PHZDYDNGSA-N	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Aliphatic homopolycyclic compounds	5280794	stigmasterol	Sterol Lipids [ST]	Sterols [ST01]	Stigmasterols and C24-ethyl derivatives [ST0104]	C05442
HEBKCHPVOIAQTA-IMJSIDKUSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic acyclic compounds	439255	lyxitol	NA	NA	NA	C00532
HEBKCHPVOIAQTA-NGQZWQHPSA-N	NA	NA	NA	NA	6912	xylitol	NA	NA	NA	C00379
HHQFKPJXVYWLLJ-ABYSKWQHSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	53480857	PE (p-40:5) or PE (o-40:6) 	NA	NA	NA	NA
HLIJNIKSBCIDGO-QKLMXXKVSA-N	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids	Aliphatic heteromonocyclic compounds	53477895	Gal-Gal-Cer(d18:1/16:0)	NA	NA	NA	C01290
HLVHJOGDHOONHN-PHUKJIMTNA-N	NA	NA	NA	NA	NA	PC 37:5; PC(19:1/18:4); 	NA	NA	NA	NA
HMFHBZSHGGEWLO-SOOFDHNKSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic heteromonocyclic compounds	5779	ribose	NA	NA	NA	C00121
HNJBEVLQSNELDL-UHFFFAOYSA-N	Organoheterocyclic compounds	Pyrrolidines	Pyrrolidones	Aliphatic heteromonocyclic compounds	12025	butyrolactam NIST	NA	NA	NA	C11118
HOBAELRKJCKHQD-QNEBEIHSSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	5280581	FA (20:3) (homo-gamma-linolenicacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]	C03242
HVGRZDASOHMCSK-AVQMFFATSA-N	NA	NA	NA	NA	5282807	FA (22:2) (docosadienoicacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]	C16533
HVYWMOMLDIMFJA-DPAQBDIFSA-N	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids	Aliphatic homopolycyclic compounds	5997	cholesterol	Sterol Lipids [ST]	Sterols [ST01]	Cholesterol and derivatives [ST0101]	C00187
HZAXFHJVJLSVMW-UHFFFAOYSA-N	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aliphatic acyclic compounds	700	ethanolamine	NA	NA	NA	C00189
IAJILQKETJEXLJ-UHFFFAOYSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic acyclic compounds	152867	hexuronic acid	NA	NA	NA	C08348
IIZPXYDJLKNOIY-JXPKJXOSSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	10747814	PC (36:4) A 	NA	NA	NA	C00157
IJTJDJOOHZVSAC-NDRUHXFFSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	53479083	PC (40:5) A 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
IPCSVZSSVZVIGE-UHFFFAOYSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	985	palmitic acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Straight chain fatty acids [FA0101]	C00249
IQFYYKKMVGJFEH-XLPZGREQSA-N	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine 2'-deoxyribonucleosides	Aromatic heteromonocyclic compounds	5789	thymidine	NA	NA	NA	C00214
IQSPCSIULMCRPM-ZAJUHDLGSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	53479831	PE (p-38:5) or PE (o-38:6) 	NA	NA	NA	C00350
ISYWECDDZWTKFF-UHFFFAOYSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	12591	nonadecanoic acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Straight chain fatty acids [FA0101]	C16535
JAZBEHYOTPTENJ-JLNKQSITSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	446284	FA (20:5) (eicosapentaenoicacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]	C06428
JBKVHLHDHHXQEQ-UHFFFAOYSA-N	Organoheterocyclic compounds	Lactams	Caprolactams	Aliphatic heteromonocyclic compounds	7768	epsilon-caprolactam	NA	NA	NA	C06593
JBYXPOFIGCOSSB-XBLVEGMJSA-N	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	Aliphatic acyclic compounds	5282796	FA (18:2) (linoleicacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]	C01595
JCQLYHFGKNRPGE-FCVZTGTOSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic heteromonocyclic compounds	11333	lactulose	NA	NA	NA	C07064
JFCQEDHGNNZCLN-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Aliphatic acyclic compounds	743	glutaric acid	NA	NA	NA	C00489
JJMDCOVWQOJGCB-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	138	5-aminovaleric acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Amino fatty acids [FA0110]	C00431
JLPULHDHAOZNQI-ZTIMHPMXSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	5287971	PC (34:2) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
JPIJQSOTBSSVTP-STHAYSLISA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic acyclic compounds	5460407	threonic acid	NA	NA	NA	C01620
JPNPIRVRGLGTRE-YSKCIPFOSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	53480952	LPE (20:4) 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	Monoacylglycerophosphoethanolamines [GP0205]	NA
JTEJPPKMYBDEMY-UHFFFAOYSA-N	Organoheterocyclic compounds	Indoles and derivatives	Tryptamines and derivatives	Aromatic heteropolycyclic compounds	1833	5-methoxytryptamine	NA	NA	NA	C05659
JVTAAEKCZFNVCJ-UHFFFAOYSA-N	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives	Aliphatic acyclic compounds	612	lactic acid	NA	NA	NA	C01432
JXOHGGNKMLTUBP-HSUXUTPPSA-N	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Aliphatic homomonocyclic compounds	8742	shikimic acid	NA	NA	NA	C00493
KCNBSSYOJRUKOM-JALPNNRCSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	52925089	PE (p-38:5) or PE (o-38:6) 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	1-(1Z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]	NA
KDXKERNSBIXSRK-YFKPBYRVSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	5962	lysine	NA	NA	NA	C00047
KDYFGRWQOYBRFD-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Aliphatic acyclic compounds	1110	succinic acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Dicarboxylic acids [FA0117]	C00042
KEMQGTRYUADPNZ-UHFFFAOYSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	10465	FA (17:0) (margaricacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Straight chain fatty acids [FA0101]	NA
KEVGQWGZKKFGDC-JCUPVDEDSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	53478671	PC (p-32:0) or PC (o-32:1) 	NA	NA	NA	NA
KIDHWZJUCRJVML-UHFFFAOYSA-N	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aliphatic acyclic compounds	1045	putrescine	NA	NA	NA	C00134
KILNVBDSWZSGLL-KXQOOQHDSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	452110	PC (32:0) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
KZJWDPNRJALLNS-VJSFXXLFSA-N	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Aliphatic homopolycyclic compounds	222284	beta-sitosterol	Sterol Lipids [ST]	Sterols [ST01]	Stigmasterols and C24-ethyl derivatives [ST0104]	C01753
KZNQNBZMBZJQJO-YFKPBYRVSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic heteromonocyclic compounds	3013625	glycyl proline	NA	NA	NA	NA
KZSNJWFQEVHDMF-BYPYZUCNSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	6287	valine	NA	NA	NA	C00183
KZSXWBSDQDXESU-PPEVQBTRSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	52923579	PC (40:6) A 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
LFGBKOUQHCWBQI-BZGLIJSBSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	52924893	PE (38:6) 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	Diacylglycerophosphoethanolamines [GP0201]	C00350
LFTYTUAZOPRMMI-CFRASDGPSA-N	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars	Aromatic heteromonocyclic compounds	445675	UDP GlcNAc	NA	NA	NA	C00043
LFUDDCMNKWEORN-ZXEGGCGDSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	24779461	LPC (16:1) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Monoacylglycerophosphocholines [GP0105]	C04230
LKDRXBCSQODPBY-OEXCPVAWSA-N	NA	NA	NA	NA	439312	tagatose	NA	NA	NA	C00795
LQZZUXJYWNFBMV-UHFFFAOYSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Aliphatic acyclic compounds	8193	dodecanol	Fatty Acyls [FA]	Fatty alcohols [FA05]	NA	C02277
LSOWKZULVQWMLY-APPDJCNMSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	10415542	LPC (22:6) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Monoacylglycerophosphocholines [GP0105]	C04230
LZGIKQZCPKHHMV-NANSGXCVSA-N	NA	NA	NA	NA	52924991	PE (p-38:2) or PE (o-38:3) 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	1-alkyl,2-acylglycerophosphoethanolamines [GP0202]	NA
MBMBGCFOFBJSGT-KUBAVDMBSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	445580	FA (22:6) (docosahexaenoicacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]	C06429
MBRHHFWRXQYYAN-RTVLTNFHSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	53480735	PC (p-34:1) or PC (o-34:2) B 	NA	NA	NA	C00157
