pubchem:3303	cpd:C00001
pubchem:3469	cpd:C00169
pubchem:3470	cpd:C00170
pubchem:3471	cpd:C00171
pubchem:3472	cpd:C00172
pubchem:3473	cpd:C00173
pubchem:3474	cpd:C00174
pubchem:3475	cpd:C00175
pubchem:3476	cpd:C00176
pubchem:3477	cpd:C00177
pubchem:3478	cpd:C00178
pubchem:3479	cpd:C00179
pubchem:3480	cpd:C00180
pubchem:3481	cpd:C00181
pubchem:3482	cpd:C00182
pubchem:3483	cpd:C00183
pubchem:3484	cpd:C00184
pubchem:3485	cpd:C00185
pubchem:3486	cpd:C00186
pubchem:3487	cpd:C00187
pubchem:3488	cpd:C00188
pubchem:3489	cpd:C00189
pubchem:3490	cpd:C00190
pubchem:3491	cpd:C00191
pubchem:3492	cpd:C00192
pubchem:3493	cpd:C00193
pubchem:3494	cpd:C00194
pubchem:3495	cpd:C00195
pubchem:3496	cpd:C00196
pubchem:3497	cpd:C00197
pubchem:3498	cpd:C00198
pubchem:3499	cpd:C00199
pubchem:3500	cpd:C00200
pubchem:3501	cpd:C00201
pubchem:3502	cpd:C00202
pubchem:3503	cpd:C00203
pubchem:3504	cpd:C00204
pubchem:3505	cpd:C00205
pubchem:3506	cpd:C00206
pubchem:3507	cpd:C00207
pubchem:3508	cpd:C00208
pubchem:3509	cpd:C00209
pubchem:3510	cpd:C00210
pubchem:3511	cpd:C00211
pubchem:3512	cpd:C00212
pubchem:3513	cpd:C00213
pubchem:3514	cpd:C00214
pubchem:3515	cpd:C00215
pubchem:3516	cpd:C00216
pubchem:3517	cpd:C00217
pubchem:3518	cpd:C00218
pubchem:3519	cpd:C00219
pubchem:3520	cpd:C00220
pubchem:3521	cpd:C00221
pubchem:3522	cpd:C00222
pubchem:3523	cpd:C00223
pubchem:3524	cpd:C00224
pubchem:3525	cpd:C00225
pubchem:3526	cpd:C00226
pubchem:3527	cpd:C00227
pubchem:3528	cpd:C00229
pubchem:3529	cpd:C00230
pubchem:3530	cpd:C00231
pubchem:3531	cpd:C00232
pubchem:3532	cpd:C00233
pubchem:3533	cpd:C00234
pubchem:3534	cpd:C00235
pubchem:3535	cpd:C00236
pubchem:3536	cpd:C00237
pubchem:3537	cpd:C00238
pubchem:3538	cpd:C00239
pubchem:3539	cpd:C00240
pubchem:3540	cpd:C00241
pubchem:3541	cpd:C00242
pubchem:3542	cpd:C00243
pubchem:3543	cpd:C00244
pubchem:3544	cpd:C00245
pubchem:3545	cpd:C00246
pubchem:3546	cpd:C00247
pubchem:3547	cpd:C00248
pubchem:3548	cpd:C00249
pubchem:3549	cpd:C00250
pubchem:3550	cpd:C00251
pubchem:3551	cpd:C00252
pubchem:3552	cpd:C00253
pubchem:3553	cpd:C00254
pubchem:3554	cpd:C00255
pubchem:3555	cpd:C00256
pubchem:3556	cpd:C00257
pubchem:3557	cpd:C00258
pubchem:3558	cpd:C00259
pubchem:3559	cpd:C00261
pubchem:3560	cpd:C00262
pubchem:3561	cpd:C00263
pubchem:3562	cpd:C00264
pubchem:3563	cpd:C00265
pubchem:3564	cpd:C00266
pubchem:3565	cpd:C00267
pubchem:3566	cpd:C00268
pubchem:3567	cpd:C00269
pubchem:3568	cpd:C00270
pubchem:3570	cpd:C00272
pubchem:3571	cpd:C00273
pubchem:3572	cpd:C00275
pubchem:3574	cpd:C00279
pubchem:3575	cpd:C00280
pubchem:3577	cpd:C00282
pubchem:3578	cpd:C00283
pubchem:3579	cpd:C00284
pubchem:3581	cpd:C00286
pubchem:3583	cpd:C00288
pubchem:3584	cpd:C00290
pubchem:3585	cpd:C00291
pubchem:3586	cpd:C00292
pubchem:3588	cpd:C00294
pubchem:3589	cpd:C00295
pubchem:3590	cpd:C00296
pubchem:3591	cpd:C00297
pubchem:3592	cpd:C00298
pubchem:3593	cpd:C00299
pubchem:3594	cpd:C00300
pubchem:3595	cpd:C00301
pubchem:3596	cpd:C00302
pubchem:3597	cpd:C00303
pubchem:3598	cpd:C00304
pubchem:3599	cpd:C00305
pubchem:3600	cpd:C00306
pubchem:3601	cpd:C00307
pubchem:3602	cpd:C00308
pubchem:3603	cpd:C00309
pubchem:3604	cpd:C00310
pubchem:3605	cpd:C00311
pubchem:3606	cpd:C00312
pubchem:3607	cpd:C00313
pubchem:3608	cpd:C00314
pubchem:3609	cpd:C00315
pubchem:3611	cpd:C00317
pubchem:3612	cpd:C00318
pubchem:3613	cpd:C00319
pubchem:3614	cpd:C00320
pubchem:3616	cpd:C00322
pubchem:3617	cpd:C00323
pubchem:3618	cpd:C00324
pubchem:3619	cpd:C00325
pubchem:3620	cpd:C00326
pubchem:3621	cpd:C00327
pubchem:3622	cpd:C00328
pubchem:3623	cpd:C00329
pubchem:3624	cpd:C00330
pubchem:3625	cpd:C00331
pubchem:3626	cpd:C00332
pubchem:3627	cpd:C00333
pubchem:3628	cpd:C00334
pubchem:3630	cpd:C00337
pubchem:3631	cpd:C00338
pubchem:3632	cpd:C00339
pubchem:3633	cpd:C00340
pubchem:3634	cpd:C00341
pubchem:3635	cpd:C00342
pubchem:3636	cpd:C00343
pubchem:3637	cpd:C00344
pubchem:3638	cpd:C00345
pubchem:3639	cpd:C00346
pubchem:3640	cpd:C00347
pubchem:3641	cpd:C00348
pubchem:3642	cpd:C00349
pubchem:3643	cpd:C00350
pubchem:3644	cpd:C00351
pubchem:3645	cpd:C00352
pubchem:3646	cpd:C00353
pubchem:3647	cpd:C00354
pubchem:3648	cpd:C00355
pubchem:3649	cpd:C00356
pubchem:3650	cpd:C00357
pubchem:3651	cpd:C00360
pubchem:3652	cpd:C00361
pubchem:3653	cpd:C00362
pubchem:3654	cpd:C00363
pubchem:3655	cpd:C00364
pubchem:3656	cpd:C00365
pubchem:3657	cpd:C00366
pubchem:3658	cpd:C00367
pubchem:3659	cpd:C00369
pubchem:3660	cpd:C00370
pubchem:3661	cpd:C00371
pubchem:3662	cpd:C00372
pubchem:3663	cpd:C00373
pubchem:3664	cpd:C00374
pubchem:3665	cpd:C00375
pubchem:3666	cpd:C00376
pubchem:3667	cpd:C00377
pubchem:3668	cpd:C00378
pubchem:3669	cpd:C00379
pubchem:3670	cpd:C00380
pubchem:3671	cpd:C00381
pubchem:3673	cpd:C00383
pubchem:3674	cpd:C00384
pubchem:3675	cpd:C00385
pubchem:3676	cpd:C00386
pubchem:3677	cpd:C00387
pubchem:3678	cpd:C00388
pubchem:3679	cpd:C00389
pubchem:3680	cpd:C00390
pubchem:3681	cpd:C00391
pubchem:3682	cpd:C00392
pubchem:3683	cpd:C00393
pubchem:3684	cpd:C00394
pubchem:3685	cpd:C00395
pubchem:3686	cpd:C00396
pubchem:3687	cpd:C00397
pubchem:3688	cpd:C00398
pubchem:3689	cpd:C00399
pubchem:3690	cpd:C00400
pubchem:3691	cpd:C00401
pubchem:3692	cpd:C00402
pubchem:3693	cpd:C00403
pubchem:3694	cpd:C00404
pubchem:3695	cpd:C00405
pubchem:3696	cpd:C00406
pubchem:3697	cpd:C00407
pubchem:3698	cpd:C00408
pubchem:3699	cpd:C00409
pubchem:3700	cpd:C00410
pubchem:3701	cpd:C00411
pubchem:3702	cpd:C00412
pubchem:3703	cpd:C00413
pubchem:3704	cpd:C00414
pubchem:3705	cpd:C00415
pubchem:3706	cpd:C00416
pubchem:3707	cpd:C00417
pubchem:3708	cpd:C00418
pubchem:3709	cpd:C00419
pubchem:3710	cpd:C00420
pubchem:3712	cpd:C00422
pubchem:3713	cpd:C00423
pubchem:3714	cpd:C00424
pubchem:3716	cpd:C00426
pubchem:3717	cpd:C00427
pubchem:3718	cpd:C00429
pubchem:3719	cpd:C00430
pubchem:3720	cpd:C00431
pubchem:3722	cpd:C00433
pubchem:3723	cpd:C00434
pubchem:3724	cpd:C00435
pubchem:3725	cpd:C00436
pubchem:3726	cpd:C00437
pubchem:3727	cpd:C00438
pubchem:3728	cpd:C00439
pubchem:3729	cpd:C00440
pubchem:3730	cpd:C00441
pubchem:3732	cpd:C00444
pubchem:3733	cpd:C00445
pubchem:3734	cpd:C00446
pubchem:3735	cpd:C00447
pubchem:3736	cpd:C00448
pubchem:3737	cpd:C00449
pubchem:3738	cpd:C00450
pubchem:3739	cpd:C00451
pubchem:3740	cpd:C00454
pubchem:3741	cpd:C00455
pubchem:3742	cpd:C00458
pubchem:3743	cpd:C00459
pubchem:3744	cpd:C00460
pubchem:3745	cpd:C00461
pubchem:3746	cpd:C00462
pubchem:3747	cpd:C00463
pubchem:3748	cpd:C00464
pubchem:3750	cpd:C00466
pubchem:3751	cpd:C00468
pubchem:3752	cpd:C00469
pubchem:3753	cpd:C00470
pubchem:3755	cpd:C00472
pubchem:3756	cpd:C00473
pubchem:3757	cpd:C00474
pubchem:3758	cpd:C00475
pubchem:3759	cpd:C00476
pubchem:3760	cpd:C00477
pubchem:3761	cpd:C00478
pubchem:3762	cpd:C00479
pubchem:3763	cpd:C00480
pubchem:3764	cpd:C00481
pubchem:3765	cpd:C00482
pubchem:3766	cpd:C00483
pubchem:3767	cpd:C00484
pubchem:3769	cpd:C00486
pubchem:3770	cpd:C00487
pubchem:3771	cpd:C00488
pubchem:3772	cpd:C00489
pubchem:3773	cpd:C00490
pubchem:3774	cpd:C00491
pubchem:3775	cpd:C00492
pubchem:3776	cpd:C00493
pubchem:3777	cpd:C00494
pubchem:3778	cpd:C00495
pubchem:3779	cpd:C00496
pubchem:3780	cpd:C00497
pubchem:3781	cpd:C00498
pubchem:3782	cpd:C00499
pubchem:3783	cpd:C00500
pubchem:3784	cpd:C00501
pubchem:3785	cpd:C00502
pubchem:3786	cpd:C00503
pubchem:3787	cpd:C00504
pubchem:3788	cpd:C00505
pubchem:3789	cpd:C00506
pubchem:3790	cpd:C00507
pubchem:3791	cpd:C00508
pubchem:3792	cpd:C00509
pubchem:3793	cpd:C00510
pubchem:3794	cpd:C00511
pubchem:3795	cpd:C00512
pubchem:3796	cpd:C00513
pubchem:3797	cpd:C00514
pubchem:3798	cpd:C00515
pubchem:3799	cpd:C00516
pubchem:3800	cpd:C00517
pubchem:3801	cpd:C00518
pubchem:3802	cpd:C00519
pubchem:3804	cpd:C00521
pubchem:3805	cpd:C00522
pubchem:3806	cpd:C00523
pubchem:3807	cpd:C00524
pubchem:3808	cpd:C00525
pubchem:3809	cpd:C00526
pubchem:3810	cpd:C00527
pubchem:3811	cpd:C00528
pubchem:3812	cpd:C00530
pubchem:3813	cpd:C00531
pubchem:3814	cpd:C00532
pubchem:3815	cpd:C00533
pubchem:3816	cpd:C00534
pubchem:3817	cpd:C00535
pubchem:3818	cpd:C00536
pubchem:3819	cpd:C00538
pubchem:3820	cpd:C00539
pubchem:3821	cpd:C00540
pubchem:3822	cpd:C00541
pubchem:3823	cpd:C00542
pubchem:3824	cpd:C00543
pubchem:3825	cpd:C00544
pubchem:3826	cpd:C00545
pubchem:3827	cpd:C00546
pubchem:3828	cpd:C00547
pubchem:3829	cpd:C00548
pubchem:3830	cpd:C00549
pubchem:3831	cpd:C00550
pubchem:3832	cpd:C00551
pubchem:3833	cpd:C00552
pubchem:3834	cpd:C00553
pubchem:3835	cpd:C00555
pubchem:3836	cpd:C00556
pubchem:3837	cpd:C00557
pubchem:3838	cpd:C00558
pubchem:3839	cpd:C00559
pubchem:3841	cpd:C00561
pubchem:3842	cpd:C00562
pubchem:3843	cpd:C00563
pubchem:3844	cpd:C00565
pubchem:3845	cpd:C00566
pubchem:3847	cpd:C00568
pubchem:3848	cpd:C00569
pubchem:3849	cpd:C00570
pubchem:3850	cpd:C00571
pubchem:3852	cpd:C00573
pubchem:3853	cpd:C00574
pubchem:3854	cpd:C00575
pubchem:3855	cpd:C00576
pubchem:3856	cpd:C00577
pubchem:3858	cpd:C00579
pubchem:3859	cpd:C00580
pubchem:3860	cpd:C00581
pubchem:3861	cpd:C00582
pubchem:3862	cpd:C00583
pubchem:3863	cpd:C00584
pubchem:3864	cpd:C00585
pubchem:3865	cpd:C00586
pubchem:3866	cpd:C00587
pubchem:3867	cpd:C00588
pubchem:3869	cpd:C00590
pubchem:3870	cpd:C00591
pubchem:3872	cpd:C00593
pubchem:3873	cpd:C00596
pubchem:3874	cpd:C00597
pubchem:3875	cpd:C00599
pubchem:3876	cpd:C00601
pubchem:3877	cpd:C00602
pubchem:3878	cpd:C00603
pubchem:3879	cpd:C00604
pubchem:3880	cpd:C00605
pubchem:3881	cpd:C00606
pubchem:3882	cpd:C00607
pubchem:3883	cpd:C00608
pubchem:3884	cpd:C00609
pubchem:3885	cpd:C00611
pubchem:3886	cpd:C00612
pubchem:3887	cpd:C00613
pubchem:3888	cpd:C00614
pubchem:3889	cpd:C00615
pubchem:3890	cpd:C00616
pubchem:3891	cpd:C00617
pubchem:3892	cpd:C00618
pubchem:3893	cpd:C00619
pubchem:3894	cpd:C00620
pubchem:3895	cpd:C00621
pubchem:3896	cpd:C00623
pubchem:3897	cpd:C00624
pubchem:3898	cpd:C00625
pubchem:3900	cpd:C00627
pubchem:3901	cpd:C00628
pubchem:3903	cpd:C00630
pubchem:3904	cpd:C00631
pubchem:3905	cpd:C00632
pubchem:3906	cpd:C00633
pubchem:3907	cpd:C00634
pubchem:3908	cpd:C00635
pubchem:3909	cpd:C00636
pubchem:3910	cpd:C00637
pubchem:3911	cpd:C00638
pubchem:3912	cpd:C00639
pubchem:3913	cpd:C00640
pubchem:3914	cpd:C00641
pubchem:3915	cpd:C00642
pubchem:3916	cpd:C00643
pubchem:3917	cpd:C00644
pubchem:3918	cpd:C00645
pubchem:3919	cpd:C00647
pubchem:3921	cpd:C00650
pubchem:3922	cpd:C00651
pubchem:3923	cpd:C00652
pubchem:3924	cpd:C00653
pubchem:3925	cpd:C00655
pubchem:3927	cpd:C00658
pubchem:3928	cpd:C00659
pubchem:3930	cpd:C00661
pubchem:3931	cpd:C00662
pubchem:3932	cpd:C00663
pubchem:3933	cpd:C00664
pubchem:3934	cpd:C00665
pubchem:3935	cpd:C00666
pubchem:3936	cpd:C00667
pubchem:3937	cpd:C00668
pubchem:3938	cpd:C00669
pubchem:3939	cpd:C00670
pubchem:3940	cpd:C00671
pubchem:3941	cpd:C00672
pubchem:3942	cpd:C00673
pubchem:3943	cpd:C00674
pubchem:3944	cpd:C00675
pubchem:3945	cpd:C00676
pubchem:3946	cpd:C00677
pubchem:3948	cpd:C00679
pubchem:3949	cpd:C00680
pubchem:3950	cpd:C00681
pubchem:3951	cpd:C00682
pubchem:3952	cpd:C00683
pubchem:3953	cpd:C00684
pubchem:3954	cpd:C00685
pubchem:3955	cpd:C00686
pubchem:3957	cpd:C00688
pubchem:3958	cpd:C00689
pubchem:3959	cpd:C00691
pubchem:3960	cpd:C00692
pubchem:3961	cpd:C00693
pubchem:3962	cpd:C00694
pubchem:3963	cpd:C00695
pubchem:3964	cpd:C00696
pubchem:3965	cpd:C00697
pubchem:3966	cpd:C00698
pubchem:3968	cpd:C00700
pubchem:3969	cpd:C00701
pubchem:3970	cpd:C00703
pubchem:3971	cpd:C00704
pubchem:3972	cpd:C00705
pubchem:3973	cpd:C00706
pubchem:3974	cpd:C00707
pubchem:3975	cpd:C00708
pubchem:3977	cpd:C00711
pubchem:3978	cpd:C00712
pubchem:3979	cpd:C00713
pubchem:3980	cpd:C00714
pubchem:3981	cpd:C00715
pubchem:3982	cpd:C00716
pubchem:3983	cpd:C00717
pubchem:3984	cpd:C00718
pubchem:3985	cpd:C00719
pubchem:3986	cpd:C00720
pubchem:3987	cpd:C00721
pubchem:3988	cpd:C00722
pubchem:3989	cpd:C00723
pubchem:3990	cpd:C00725
pubchem:3991	cpd:C00726
pubchem:3992	cpd:C00727
pubchem:3994	cpd:C00729
pubchem:3996	cpd:C00732
pubchem:3997	cpd:C00734
pubchem:3998	cpd:C00735
pubchem:3999	cpd:C00736
pubchem:4000	cpd:C00737
pubchem:4001	cpd:C00738
pubchem:4002	cpd:C00739
pubchem:4003	cpd:C00740
pubchem:4004	cpd:C00741
pubchem:4005	cpd:C00742
pubchem:4006	cpd:C00744
pubchem:4007	cpd:C00745
pubchem:4008	cpd:C00746
pubchem:4009	cpd:C00747
pubchem:4010	cpd:C00748
pubchem:4012	cpd:C00750
pubchem:4013	cpd:C00751
pubchem:4014	cpd:C00752
pubchem:4015	cpd:C00753
pubchem:4017	cpd:C00755
pubchem:4018	cpd:C00756
pubchem:4019	cpd:C00757
pubchem:4020	cpd:C00758
pubchem:4021	cpd:C00759
pubchem:4022	cpd:C00760
pubchem:4023	cpd:C00761
pubchem:4024	cpd:C00762
pubchem:4025	cpd:C00763
pubchem:4026	cpd:C00764
pubchem:4027	cpd:C00765
pubchem:4028	cpd:C00766
pubchem:4030	cpd:C00768
pubchem:4032	cpd:C00770
pubchem:4033	cpd:C00771
pubchem:4034	cpd:C00772
pubchem:4035	cpd:C00773
pubchem:4036	cpd:C00774
pubchem:4037	cpd:C00775
pubchem:4038	cpd:C00777
pubchem:4039	cpd:C00778
pubchem:4040	cpd:C00779
pubchem:4041	cpd:C00780
pubchem:4042	cpd:C00783
pubchem:4043	cpd:C00785
pubchem:4044	cpd:C00786
pubchem:4045	cpd:C00787
pubchem:4046	cpd:C00788
pubchem:4047	cpd:C00789
pubchem:4049	cpd:C00791
pubchem:4050	cpd:C00792
pubchem:4051	cpd:C00793
pubchem:4052	cpd:C00794
pubchem:4053	cpd:C00795
pubchem:4054	cpd:C00796
pubchem:4055	cpd:C00797
pubchem:4056	cpd:C00798
pubchem:4057	cpd:C00799
pubchem:4058	cpd:C00800
pubchem:4059	cpd:C00801
pubchem:4060	cpd:C00802
pubchem:4061	cpd:C00803
pubchem:4062	cpd:C00804
pubchem:4063	cpd:C00805
pubchem:4064	cpd:C00806
pubchem:4065	cpd:C00807
pubchem:4066	cpd:C00808
pubchem:4067	cpd:C00809
pubchem:4068	cpd:C00810
pubchem:4069	cpd:C00811
pubchem:4070	cpd:C00812
pubchem:4071	cpd:C00813
pubchem:4072	cpd:C00814
pubchem:4073	cpd:C00815
pubchem:4074	cpd:C00816
pubchem:4075	cpd:C00817
pubchem:4076	cpd:C00818
pubchem:4077	cpd:C00819
pubchem:4078	cpd:C00820
pubchem:4079	cpd:C00821
pubchem:4080	cpd:C00822
pubchem:4081	cpd:C00823
pubchem:4082	cpd:C00824
pubchem:4083	cpd:C00825
pubchem:4084	cpd:C00826
pubchem:4085	cpd:C00827
pubchem:4086	cpd:C00828
pubchem:4087	cpd:C00829
pubchem:4088	cpd:C00830
pubchem:4089	cpd:C00831
pubchem:4090	cpd:C00832
pubchem:4093	cpd:C00835
pubchem:4094	cpd:C00836
pubchem:4095	cpd:C00837
pubchem:4096	cpd:C00839
pubchem:4097	cpd:C00840
pubchem:4098	cpd:C00841
pubchem:4099	cpd:C00842
pubchem:4100	cpd:C00843
pubchem:4101	cpd:C00844
pubchem:4102	cpd:C00845
pubchem:4103	cpd:C00846
pubchem:4104	cpd:C00847
pubchem:4105	cpd:C00848
pubchem:4106	cpd:C00849
pubchem:4107	cpd:C00850
pubchem:4109	cpd:C00852
pubchem:4110	cpd:C00853
pubchem:4111	cpd:C00854
pubchem:4112	cpd:C00855
pubchem:4113	cpd:C00856
pubchem:4114	cpd:C00857
pubchem:4115	cpd:C00858
pubchem:4116	cpd:C00859
pubchem:4117	cpd:C00860
pubchem:4118	cpd:C00861
pubchem:4119	cpd:C00862
pubchem:4120	cpd:C00863
pubchem:4121	cpd:C00864
pubchem:4122	cpd:C00865
pubchem:4125	cpd:C00868
pubchem:4126	cpd:C00869
pubchem:4127	cpd:C00870
pubchem:4128	cpd:C00871
pubchem:4129	cpd:C00872
pubchem:4130	cpd:C00873
pubchem:4131	cpd:C00875
pubchem:4132	cpd:C00876
pubchem:4133	cpd:C00877
pubchem:4134	cpd:C00878
pubchem:4135	cpd:C00879
pubchem:4136	cpd:C00880
pubchem:4137	cpd:C00881
pubchem:4138	cpd:C00882
pubchem:4139	cpd:C00883
pubchem:4140	cpd:C00884
pubchem:4141	cpd:C00885
pubchem:4142	cpd:C00886
pubchem:4143	cpd:C00887
pubchem:4144	cpd:C00888
pubchem:4145	cpd:C00889
pubchem:4147	cpd:C00891
pubchem:4148	cpd:C00892
pubchem:4149	cpd:C00893
pubchem:4150	cpd:C00894
pubchem:4151	cpd:C00895
pubchem:4152	cpd:C00896
pubchem:4153	cpd:C00897
pubchem:4154	cpd:C00898
pubchem:4155	cpd:C00899
pubchem:4156	cpd:C00900
pubchem:4157	cpd:C00902
pubchem:4158	cpd:C00903
pubchem:4159	cpd:C00904
pubchem:4160	cpd:C00905
pubchem:4161	cpd:C00906
pubchem:4163	cpd:C00908
pubchem:4164	cpd:C00909
pubchem:4166	cpd:C00911
pubchem:4167	cpd:C00912
pubchem:4168	cpd:C00913
pubchem:4169	cpd:C00915
pubchem:4170	cpd:C00916
pubchem:4171	cpd:C00917
pubchem:4172	cpd:C00918
pubchem:4173	cpd:C00919
pubchem:4174	cpd:C00920
pubchem:4175	cpd:C00921
pubchem:4176	cpd:C00922
pubchem:4177	cpd:C00923
pubchem:4178	cpd:C00924
pubchem:4179	cpd:C00925
pubchem:4180	cpd:C00927
pubchem:4181	cpd:C00928
pubchem:4182	cpd:C00929
pubchem:4183	cpd:C00930
pubchem:4184	cpd:C00931
pubchem:4185	cpd:C00933
pubchem:4186	cpd:C00934
pubchem:4187	cpd:C00935
pubchem:4188	cpd:C00936
pubchem:4189	cpd:C00937
pubchem:4190	cpd:C00938
pubchem:4191	cpd:C00939
pubchem:4192	cpd:C00940
pubchem:4193	cpd:C00941
pubchem:4194	cpd:C00942
pubchem:4195	cpd:C00943
pubchem:4196	cpd:C00944
pubchem:4197	cpd:C00946
pubchem:4200	cpd:C00949
pubchem:4201	cpd:C00950
pubchem:4202	cpd:C00951
pubchem:4203	cpd:C00952
pubchem:4205	cpd:C00954
pubchem:4206	cpd:C00955
pubchem:4207	cpd:C00956
pubchem:4208	cpd:C00957
pubchem:4209	cpd:C00958
pubchem:4210	cpd:C00959
pubchem:4211	cpd:C00960
pubchem:4212	cpd:C00961
pubchem:4213	cpd:C00962
pubchem:4214	cpd:C00963
pubchem:4215	cpd:C00964
pubchem:4216	cpd:C00965
pubchem:4217	cpd:C00966
pubchem:4218	cpd:C00968
pubchem:4219	cpd:C00969
pubchem:4220	cpd:C00971
pubchem:4221	cpd:C00972
pubchem:4222	cpd:C00973
pubchem:4223	cpd:C00974
pubchem:4224	cpd:C00975
pubchem:4225	cpd:C00976
pubchem:4226	cpd:C00977
pubchem:4227	cpd:C00978
pubchem:4228	cpd:C00979
pubchem:4229	cpd:C00980
